"File","Line","Code"
"src\components\AnimatedNodesBackground\AnimatedNodesBackground.tsx","59","style={{ animationDelay: `${i * 0.3}s` }}"
"src\components\AnimatedNodesBackground\AnimatedNodesBackground.tsx","86","style={{ animationDelay: `${i * 0.4}s` }}"
"src\components\DecisionNode\DecisionNode.tsx","60","style={{"
"src\components\DecisionNode\DecisionNode.tsx","67","<div className=""decision-node__icon-dot"" style={{ background: theme.stroke }} />"
"src\components\DecisionNode\DecisionNode.tsx","82","style={{ left: leftPercent(idx + 1) }}"
"src\components\DecisionNode\DecisionNode.tsx","93","style={{ left: leftPercent(rules.length + 1) }}"
"src\components\DeletableEdge\DeletableEdge.tsx","84","style={{"
"src\components\DeletableEdge\DeletableEdge.tsx","94","<circle r=""6"" fill=""var(--color-bg-white)"" stroke={style?.stroke || 'var(--color-primary)'} strokeWidth=""3"" style={{ filter: `drop-shadow(0 0 6px ${style?.stroke || 'var(--color-primary)'})` }}>"
"src\components\DeletableEdge\DeletableEdge.tsx","125","style={{"
"src\components\ErrorNode\ErrorNode.tsx","41","style={{"
"src\components\ErrorNode\ErrorNode.tsx","64","style={{ background: theme.iconBg, color: theme.stroke }}"
"src\components\ErrorNode\ErrorNode.tsx","76","style={{ background: theme.badgeBg }}"
"src\components\ErrorNode\ErrorNode.tsx","82","style={{ background: theme.stroke }}"
"src\components\ExecutionDebuggerModal\ExecutionDebuggerModal.tsx","293","<div className=""exec-debugger-io"" style={{ width: `${ioWidth}px`, flex: `0 0 ${ioWidth}px` }}>"
"src\components\Grid\Grid.tsx","41","<div className=""app-grid__auto"" style={autoFitStyle}>"
"src\components\Grid\Grid.tsx","93","<div className=""app-grid__auto"" style={autoFitStyle}>"
"src\components\MetricCard\MetricCard.tsx","53","<div className=""metric-card__icon-box"" style={{ color: color, backgroundColor: `${color}15` }}>"
"src\components\ModernNode\ModernNode.tsx","34","style={{"
"src\components\ModernNode\ModernNode.tsx","63","style={{ background: theme.iconBg, color: theme.stroke }}"
"src\components\ModernNode\ModernNode.tsx","79","style={{ background: theme.badgeBg }}"
"src\components\ModernNode\ModernNode.tsx","86","style={{ background: theme.stroke }}"
"src\components\NodePalette\NodePalette.tsx","39","<div className=""nli-icon"" style={{ background: colors.bg }}>"
"src\components\NodePaletteItem\NodePaletteItem.tsx","42","<span className=""node-palette-item__icon"" style={{ color: itemColor }}>"
"src\components\NodePaletteItem\NodePaletteItem.tsx","46","<span className=""node-palette-item__name"" style={{ color: itemColor }}>{action.name}</span>"
"src\components\SkillCard\SkillCard.tsx","83","style={{"
"src\components\TestApiModal\TestApiModal.tsx","59","<div className=""tam-status-dot"" style={{ background: statusColor }} />"
"src\components\TestApiModal\TestApiModal.tsx","61","Status: <span className=""tam-status-value"" style={{ color: statusColor }}>{result?.status || (testState === 'loading' ? 'PENDING' : (testState === 'error' ? 'ERROR' : 'UNKNOWN'))}</span>"
"src\pages\Dashboard\DashboardPage.tsx","51","<Col xs={24} sm={12} md={8} lg={6} key={idx} style={{ animationDelay: `${idx * 0.08}s` }} className=""reveal-up"">"
"src\pages\Login\LoginPage.tsx","150","style={{ animation: edge.animation }}"
"src\pages\Login\LoginPage.tsx","164","<div key={node.id} className=""lr-node"" data-accent={node.iconStyle} style={{ ...node.style, '--node-delay': `${i * 0.15}s` } as React.CSSProperties}>"
"src\pages\Login\LoginPage.tsx","176","<div className=""lr-membar""><div className=""lr-memfill"" style={{ width: node.membar }}/></div>"
"src\pages\SkillsLibrary\SkillsLibraryPage.tsx","165","<span style={{ display: 'none' }}>GRID_LOADING_ACTIVE</span>"
